alkaen,ked,ked4,ked12,pm,vpm
2000-09-01,4541,4541,4877,8073,6728
2003-09-01,4970,4970,5340,,
2005-07-01,5220,5220,5600,,
2006-08-01,5400,5400,5800,,
2007-04-01,5540,5540,5950,10200,8500
2008-05-01,5860,5860,6300,10800,9000
2010-11-01,5948,5948,6395,10962,9135
2011-05-01,6335,6335,6811,,
2014-03-01,6355,6355,6831,,
2015-03-01,6380,6380,6858,11742,9788
2016-02-01,6407,6407,6887,11792,9830
2018-05-01,6510,6510,6997,11981,9987
2019-04-15,6614,6945,7408,13390,10441
2023-04-03,7137,7494,7993,14448,11266
